LotID,CarrierID,TimeStamp,Message,WaferID,SlotNumber,Date,Time
AE211776-OPER7220,,2022-05-22 11:05:03,Lot Start,,,2022-05-22,11:05:03
AE211776-OPER7220,007762310000IMEC,2022-05-22 11:17:50,,@2,2,2022-05-22,11:17:50
AE211776-OPER7220,007762310000IMEC,2022-05-22 11:31:25,,@3,3,2022-05-22,11:31:25
AE211776-OPER7220,007762310000IMEC,2022-05-22 11:44:59,,@4,4,2022-05-22,11:44:59
AE211776-OPER7220,007762310000IMEC,2022-05-22 11:58:32,,@5,5,2022-05-22,11:58:32
AE211776-OPER7220,007762310000IMEC,2022-05-22 12:12:05,,@6,6,2022-05-22,12:12:05
AE211776-OPER7220,,2022-05-22 12:12:05,Lot End,,,2022-05-22,12:12:05
AL201894-B,,2022-05-23 12:15:00,Lot Start,,,2022-05-23,12:15:00
AL201894-B,005463290000IMEC,2022-05-23 12:34:29,,@14,14,2022-05-23,12:34:29
AL201894-B,,2022-05-23 12:34:29,Lot End,,,2022-05-23,12:34:29
E222056-7226,,2022-05-23 03:44:30,Lot Start,,,2022-05-23,03:44:30
E222056-7226,005350860000IMEC,2022-05-23 04:04:11,,@2,2,2022-05-23,04:04:11
E222056-7226,005350860000IMEC,2022-05-23 04:22:15,,@3,3,2022-05-23,04:22:15
E222056-7226,005350860000IMEC,2022-05-23 04:40:20,,@4,4,2022-05-23,04:40:20
E222056-7226,005350860000IMEC,2022-05-23 04:58:23,,@5,5,2022-05-23,04:58:23
E222056-7226,005350860000IMEC,2022-05-23 05:16:34,,@6,6,2022-05-23,05:16:34
E222056-7226,,2022-05-23 05:16:34,Lot End,,,2022-05-23,05:16:34
