Lot ID,E222056-7226
Recipe ID,PLINE200\PATTERN\A-B-C\CUOXBOND\ICPAD_5_270
Carrier ID,005350860000IMEC
Sample Location,Port 1 Slot 4
Sample ID,Slot04
Data Save Location,D:\DataLog\Automation Image\220523_042320_E222056-7226_Slot04_

Tip ID,AC160
Tip Cassette ID,Cassette1
Tip Port No,1
Tip Slot No,1

Site ID,Site X,Site Y,Point No,X (um),Y (um),Method ID,State,
0001_X000_Y000,0,0,1,74.92000000000007,-106.80999999999995,ICPAD,COMPLETED,
0002_X007_Y000,7,0,1,72258.91999999998,-106.80999999999995,ICPAD,COMPLETED,
0003_X000_Y012,0,12,1,74.92000000000007,81493.19,ICPAD,COMPLETED,
0004_X-007_Y000,-7,0,1,-72109.08,-106.80999999999995,ICPAD,COMPLETED,
0005_X000_Y-012,0,-12,1,74.92000000000007,-81706.80999999998,ICPAD,COMPLETED,
